ascent = 19
descent = 0
height = 27
xOffset = 4
yOffset = 4
numChars = 219
char = 33; A = 1; B = 3; C = 1; x = 0; y = 18; 
char = 89; A = 0; B = 11; C = 0; x = 434; y = 45; 
char = 90; A = 0; B = 9; C = 0; x = 453; y = 45; 
char = 91; A = 1; B = 4; C = 1; x = 470; y = 45; 
char = 92; A = -1; B = 6; C = -1; x = 482; y = 45; 
char = 93; A = 1; B = 4; C = 1; x = 496; y = 45; 
char = 94; A = 1; B = 7; C = 1; x = 0; y = 72; 
char = 95; A = 0; B = 9; C = 0; x = 15; y = 72; 
char = 96; A = 1; B = 3; C = 1; x = 32; y = 72; 
char = 97; A = 0; B = 9; C = 0; x = 43; y = 72; 
char = 98; A = 0; B = 10; C = 0; x = 60; y = 72; 
char = 99; A = 0; B = 8; C = 0; x = 78; y = 72; 
char = 100; A = 0; B = 9; C = 0; x = 94; y = 72; 
char = 101; A = 0; B = 9; C = 0; x = 111; y = 72; 
char = 102; A = 0; B = 6; C = -1; x = 128; y = 72; 
char = 103; A = 0; B = 9; C = 0; x = 142; y = 72; 
char = 104; A = 0; B = 9; C = 0; x = 159; y = 72; 
char = 105; A = 0; B = 4; C = 0; x = 176; y = 72; 
char = 106; A = -1; B = 5; C = 1; x = 188; y = 72; 
char = 107; A = 0; B = 9; C = 0; x = 201; y = 72; 
char = 108; A = 0; B = 4; C = 0; x = 218; y = 72; 
char = 109; A = 0; B = 14; C = 0; x = 230; y = 72; 
char = 110; A = 0; B = 10; C = 0; x = 252; y = 72; 
char = 111; A = 0; B = 9; C = 0; x = 270; y = 72; 
char = 112; A = 0; B = 9; C = 0; x = 287; y = 72; 
char = 113; A = 0; B = 10; C = 0; x = 304; y = 72; 
char = 114; A = 0; B = 6; C = 0; x = 322; y = 72; 
char = 115; A = 0; B = 8; C = 0; x = 336; y = 72; 
char = 116; A = 0; B = 5; C = 0; x = 352; y = 72; 
char = 117; A = 0; B = 9; C = 0; x = 365; y = 72; 
char = 118; A = 0; B = 9; C = 0; x = 382; y = 72; 
char = 119; A = 0; B = 12; C = 0; x = 399; y = 72; 
char = 120; A = 0; B = 9; C = 0; x = 419; y = 72; 
char = 121; A = 0; B = 9; C = 0; x = 436; y = 72; 
char = 122; A = 0; B = 7; C = 0; x = 453; y = 72; 
char = 123; A = 1; B = 6; C = 0; x = 468; y = 72; 
char = 124; A = 1; B = 2; C = 1; x = 482; y = 72; 
char = 125; A = 1; B = 5; C = 0; x = 492; y = 72; 
char = 126; A = 1; B = 9; C = 1; x = 0; y = 99; 
char = 127; A = 0; B = 8; C = 0; x = 17; y = 99; 
char = 128; A = -1; B = 5; C = 0; x = 33; y = 99; 
char = 129; A = 0; B = 5; C = -1; x = 46; y = 99; 
char = 130; A = 1; B = 3; C = 1; x = 59; y = 99; 
char = 131; A = 0; B = 5; C = 0; x = 70; y = 99; 
char = 132; A = 1; B = 6; C = 1; x = 83; y = 99; 
char = 133; A = 1; B = 13; C = 1; x = 97; y = 99; 
char = 134; A = 1; B = 7; C = 1; x = 118; y = 99; 
char = 135; A = 1; B = 7; C = 1; x = 133; y = 99; 
char = 136; A = 0; B = 8; C = 0; x = 148; y = 99; 
char = 137; A = 0; B = 19; C = 0; x = 164; y = 99; 
char = 138; A = -1; B = 6; C = 0; x = 191; y = 99; 
char = 139; A = 0; B = 3; C = 0; x = 205; y = 99; 
char = 140; A = 0; B = 6; C = 0; x = 216; y = 99; 
char = 141; A = 0; B = 6; C = -1; x = 230; y = 99; 
char = 142; A = -1; B = 6; C = 0; x = 244; y = 99; 
char = 143; A = 0; B = 5; C = 0; x = 258; y = 99; 
char = 144; A = 0; B = 5; C = 0; x = 271; y = 99; 
char = 145; A = 1; B = 3; C = 1; x = 284; y = 99; 
char = 146; A = 1; B = 3; C = 1; x = 295; y = 99; 
char = 147; A = 1; B = 6; C = 1; x = 306; y = 99; 
char = 148; A = 1; B = 6; C = 1; x = 320; y = 99; 
char = 149; A = 1; B = 6; C = 1; x = 334; y = 99; 
char = 150; A = 0; B = 9; C = -1; x = 348; y = 99; 
char = 151; A = 0; B = 17; C = -1; x = 365; y = 99; 
char = 152; A = 0; B = 8; C = 0; x = 390; y = 99; 
char = 153; A = 0; B = 13; C = 1; x = 406; y = 99; 
char = 154; A = -1; B = 6; C = 0; x = 427; y = 99; 
char = 155; A = 0; B = 3; C = 0; x = 441; y = 99; 
char = 156; A = 0; B = 6; C = 0; x = 452; y = 99; 
char = 157; A = 0; B = 6; C = -1; x = 466; y = 99; 
char = 158; A = 0; B = 6; C = 0; x = 480; y = 99; 
char = 159; A = 0; B = 6; C = 0; x = 494; y = 99; 
char = 161; A = -1; B = 5; C = -1; x = 0; y = 126; 
char = 162; A = -1; B = 6; C = -1; x = 13; y = 126; 
char = 163; A = -1; B = 7; C = 0; x = 27; y = 126; 
char = 164; A = 1; B = 7; C = 1; x = 42; y = 126; 
char = 165; A = 0; B = 5; C = -1; x = 57; y = 126; 
char = 166; A = 0; B = 8; C = 0; x = 70; y = 126; 
char = 167; A = 1; B = 8; C = 0; x = 86; y = 126; 
char = 168; A = 0; B = 9; C = 0; x = 102; y = 126; 
char = 169; A = 0; B = 13; C = 0; x = 119; y = 126; 
char = 170; A = 0; B = 9; C = 0; x = 140; y = 126; 
char = 171; A = 0; B = 5; C = 0; x = 157; y = 126; 
char = 174; A = 0; B = 13; C = 0; x = 170; y = 126; 
char = 175; A = 0; B = 6; C = 0; x = 191; y = 126; 
char = 176; A = 0; B = 6; C = 0; x = 205; y = 126; 
char = 177; A = 1; B = 8; C = 1; x = 219; y = 126; 
char = 178; A = 0; B = 5; C = 0; x = 235; y = 126; 
char = 179; A = 0; B = 5; C = 0; x = 248; y = 126; 
char = 180; A = 0; B = 5; C = -1; x = 261; y = 126; 
char = 181; A = 0; B = 9; C = 0; x = 274; y = 126; 
char = 183; A = 1; B = 6; C = 1; x = 291; y = 126; 
char = 184; A = 0; B = 7; C = 0; x = 305; y = 126; 
char = 185; A = 0; B = 7; C = 0; x = 320; y = 126; 
char = 186; A = 0; B = 6; C = 0; x = 335; y = 126; 
char = 187; A = 0; B = 5; C = 0; x = 349; y = 126; 
char = 188; A = 0; B = 4; C = 0; x = 362; y = 126; 
char = 189; A = 0; B = 5; C = 0; x = 374; y = 126; 
char = 190; A = 0; B = 5; C = 0; x = 387; y = 126; 
char = 191; A = 0; B = 5; C = -1; x = 400; y = 126; 
char = 192; A = -1; B = 12; C = -1; x = 413; y = 126; 
char = 193; A = 0; B = 9; C = 0; x = 433; y = 126; 
char = 194; A = 0; B = 9; C = 0; x = 450; y = 126; 
char = 195; A = 0; B = 8; C = -1; x = 467; y = 126; 
char = 196; A = 0; B = 11; C = 0; x = 483; y = 126; 
char = 197; A = 0; B = 10; C = 0; x = 0; y = 153; 
char = 198; A = 0; B = 16; C = 0; x = 18; y = 153; 
char = 199; A = 0; B = 8; C = 0; x = 42; y = 153; 
char = 200; A = 0; B = 11; C = 0; x = 58; y = 153; 
char = 201; A = 0; B = 11; C = 0; x = 77; y = 153; 
char = 202; A = 0; B = 10; C = -1; x = 96; y = 153; 
char = 203; A = -1; B = 11; C = -1; x = 114; y = 153; 
char = 204; A = 0; B = 13; C = 0; x = 133; y = 153; 
char = 205; A = 0; B = 11; C = 0; x = 154; y = 153; 
char = 206; A = 0; B = 10; C = 0; x = 173; y = 153; 
char = 207; A = 0; B = 12; C = 0; x = 191; y = 153; 
char = 208; A = 0; B = 9; C = 0; x = 211; y = 153; 
char = 209; A = 0; B = 10; C = 0; x = 228; y = 153; 
char = 210; A = -1; B = 11; C = 0; x = 246; y = 153; 
char = 211; A = -1; B = 11; C = -1; x = 265; y = 153; 
char = 212; A = 0; B = 11; C = 0; x = 284; y = 153; 
char = 213; A = 0; B = 11; C = 0; x = 303; y = 153; 
char = 214; A = 0; B = 12; C = 0; x = 322; y = 153; 
char = 215; A = 0; B = 10; C = 0; x = 342; y = 153; 
char = 216; A = 0; B = 15; C = 0; x = 360; y = 153; 
char = 217; A = 0; B = 16; C = 0; x = 383; y = 153; 
char = 218; A = 0; B = 11; C = 0; x = 407; y = 153; 
char = 219; A = 0; B = 14; C = 0; x = 426; y = 153; 
char = 220; A = 0; B = 9; C = 0; x = 448; y = 153; 
char = 221; A = 0; B = 9; C = 0; x = 465; y = 153; 
char = 222; A = 0; B = 15; C = 0; x = 482; y = 153; 
char = 223; A = -1; B = 10; C = 0; x = 0; y = 180; 
char = 224; A = 0; B = 7; C = 0; x = 18; y = 180; 
char = 225; A = 0; B = 7; C = 0; x = 33; y = 180; 
char = 226; A = 0; B = 7; C = 0; x = 48; y = 180; 
char = 227; A = 0; B = 6; C = 0; x = 63; y = 180; 
char = 228; A = 0; B = 8; C = 0; x = 77; y = 180; 
char = 229; A = 0; B = 7; C = 0; x = 93; y = 180; 
char = 230; A = -1; B = 12; C = -1; x = 108; y = 180; 
char = 231; A = 0; B = 7; C = 0; x = 128; y = 180; 
char = 232; A = 0; B = 7; C = 0; x = 143; y = 180; 
char = 233; A = 0; B = 8; C = 0; x = 158; y = 180; 
char = 234; A = 0; B = 8; C = -1; x = 174; y = 180; 
char = 235; A = -1; B = 8; C = -1; x = 190; y = 180; 
char = 236; A = 0; B = 9; C = 0; x = 206; y = 180; 
char = 237; A = 0; B = 7; C = 0; x = 223; y = 180; 
char = 238; A = 0; B = 8; C = 0; x = 238; y = 180; 
char = 239; A = 0; B = 8; C = 0; x = 254; y = 180; 
char = 240; A = -1; B = 7; C = 0; x = 270; y = 180; 
char = 241; A = 0; B = 7; C = 0; x = 285; y = 180; 
char = 242; A = 0; B = 7; C = -1; x = 300; y = 180; 
char = 243; A = -1; B = 8; C = -1; x = 315; y = 180; 
char = 244; A = 0; B = 10; C = 0; x = 331; y = 180; 
char = 245; A = 0; B = 8; C = 0; x = 349; y = 180; 
char = 246; A = 0; B = 8; C = 0; x = 365; y = 180; 
char = 247; A = 0; B = 7; C = 0; x = 381; y = 180; 
char = 248; A = 0; B = 10; C = 0; x = 396; y = 180; 
char = 249; A = 0; B = 11; C = 0; x = 414; y = 180; 
char = 250; A = -1; B = 8; C = 0; x = 433; y = 180; 
char = 251; A = 0; B = 10; C = 0; x = 449; y = 180; 
char = 252; A = 0; B = 6; C = 0; x = 467; y = 180; 
char = 253; A = 0; B = 6; C = 0; x = 481; y = 180; 
char = 254; A = 0; B = 11; C = 0; x = 0; y = 207; 
char = 255; A = -1; B = 8; C = 0; x = 19; y = 207; 
