ascent = 21
descent = 0
height = 29
xOffset = 4
yOffset = 4
numChars = 216
char = 33; A = 1; B = 5; C = 1; x = 0; y = 20; 
char = 210; A = 0; B = 11; C = 0; x = 172; y = 194; 
char = 211; A = 0; B = 13; C = 0; x = 191; y = 194; 
char = 212; A = 0; B = 17; C = 0; x = 212; y = 194; 
char = 213; A = 0; B = 14; C = 0; x = 237; y = 194; 
char = 214; A = 0; B = 14; C = 0; x = 259; y = 194; 
char = 215; A = 0; B = 13; C = 0; x = 281; y = 194; 
char = 216; A = 0; B = 19; C = 0; x = 302; y = 194; 
char = 217; A = 0; B = 19; C = 0; x = 329; y = 194; 
char = 218; A = 0; B = 16; C = 0; x = 356; y = 194; 
char = 219; A = 0; B = 18; C = 0; x = 380; y = 194; 
char = 220; A = 0; B = 13; C = 0; x = 406; y = 194; 
char = 221; A = 0; B = 13; C = 0; x = 427; y = 194; 
char = 222; A = 0; B = 20; C = 0; x = 448; y = 194; 
char = 223; A = 0; B = 13; C = 0; x = 476; y = 194; 
char = 224; A = 0; B = 10; C = 0; x = 0; y = 223; 
char = 225; A = 0; B = 11; C = 0; x = 18; y = 223; 
char = 226; A = 0; B = 11; C = 0; x = 37; y = 223; 
char = 227; A = 0; B = 9; C = 0; x = 56; y = 223; 
char = 228; A = 0; B = 11; C = 0; x = 73; y = 223; 
char = 229; A = 0; B = 10; C = 0; x = 92; y = 223; 
char = 230; A = 0; B = 16; C = -1; x = 110; y = 223; 
char = 231; A = 0; B = 9; C = 1; x = 134; y = 223; 
char = 232; A = 0; B = 11; C = 0; x = 151; y = 223; 
char = 233; A = 0; B = 11; C = 0; x = 170; y = 223; 
char = 234; A = 0; B = 11; C = 0; x = 189; y = 223; 
char = 235; A = 0; B = 11; C = 0; x = 208; y = 223; 
char = 236; A = 0; B = 13; C = 0; x = 227; y = 223; 
char = 237; A = 0; B = 11; C = 0; x = 248; y = 223; 
char = 238; A = 0; B = 11; C = 0; x = 267; y = 223; 
char = 239; A = 0; B = 11; C = 0; x = 286; y = 223; 
char = 240; A = 0; B = 11; C = 0; x = 305; y = 223; 
char = 241; A = 0; B = 10; C = 0; x = 324; y = 223; 
char = 242; A = 0; B = 9; C = 0; x = 342; y = 223; 
char = 243; A = 0; B = 11; C = 0; x = 359; y = 223; 
char = 244; A = 0; B = 16; C = 0; x = 378; y = 223; 
char = 245; A = 0; B = 11; C = 0; x = 402; y = 223; 
char = 246; A = 0; B = 11; C = 0; x = 421; y = 223; 
char = 247; A = 0; B = 11; C = 0; x = 440; y = 223; 
char = 248; A = 0; B = 15; C = 0; x = 459; y = 223; 
char = 249; A = 0; B = 15; C = 0; x = 482; y = 223; 
char = 250; A = 0; B = 13; C = 0; x = 0; y = 252; 
char = 251; A = 0; B = 15; C = 0; x = 21; y = 252; 
char = 252; A = 0; B = 10; C = 0; x = 44; y = 252; 
char = 253; A = 0; B = 10; C = 0; x = 62; y = 252; 
char = 254; A = 0; B = 16; C = 0; x = 80; y = 252; 
char = 255; A = 0; B = 11; C = 0; x = 104; y = 252; 
