ascent = 16
descent = 0
height = 24
xOffset = 4
yOffset = 4
numChars = 218
char = 33; A = 1; B = 2; C = 0; x = 0; y = 15; 
char = 112; A = 0; B = 8; C = 0; x = 204; y = 63; 
char = 113; A = 0; B = 8; C = 0; x = 220; y = 63; 
char = 114; A = 0; B = 5; C = 0; x = 236; y = 63; 
char = 115; A = 0; B = 5; C = 0; x = 249; y = 63; 
char = 116; A = 0; B = 5; C = -1; x = 262; y = 63; 
char = 117; A = 0; B = 8; C = 0; x = 275; y = 63; 
char = 118; A = 0; B = 8; C = -1; x = 291; y = 63; 
char = 119; A = 0; B = 11; C = -1; x = 307; y = 63; 
char = 120; A = 0; B = 8; C = 0; x = 326; y = 63; 
char = 121; A = 0; B = 7; C = -1; x = 342; y = 63; 
char = 122; A = 0; B = 6; C = 0; x = 357; y = 63; 
char = 123; A = 1; B = 5; C = 0; x = 371; y = 63; 
char = 124; A = 3; B = 1; C = 3; x = 384; y = 63; 
char = 125; A = 0; B = 4; C = 1; x = 393; y = 63; 
char = 126; A = 1; B = 8; C = 1; x = 405; y = 63; 
char = 128; A = 0; B = 12; C = 0; x = 421; y = 63; 
char = 129; A = 0; B = 8; C = 0; x = 441; y = 63; 
char = 130; A = 0; B = 3; C = 0; x = 457; y = 63; 
char = 131; A = 0; B = 6; C = 0; x = 468; y = 63; 
char = 132; A = 0; B = 7; C = 0; x = 482; y = 63; 
char = 133; A = 1; B = 12; C = 1; x = 0; y = 87; 
char = 134; A = 0; B = 7; C = 0; x = 20; y = 87; 
char = 135; A = 0; B = 7; C = 0; x = 35; y = 87; 
char = 136; A = 0; B = 7; C = 0; x = 50; y = 87; 
char = 137; A = 0; B = 14; C = 0; x = 65; y = 87; 
char = 138; A = -1; B = 14; C = 0; x = 87; y = 87; 
char = 139; A = 0; B = 4; C = 0; x = 109; y = 87; 
char = 140; A = 0; B = 14; C = 0; x = 121; y = 87; 
char = 141; A = 0; B = 10; C = -1; x = 143; y = 87; 
char = 142; A = 0; B = 13; C = 0; x = 161; y = 87; 
char = 143; A = 0; B = 11; C = 0; x = 182; y = 87; 
char = 144; A = 0; B = 8; C = 0; x = 201; y = 87; 
char = 145; A = 0; B = 3; C = 0; x = 217; y = 87; 
char = 146; A = 0; B = 3; C = 0; x = 228; y = 87; 
char = 147; A = 0; B = 6; C = 0; x = 239; y = 87; 
char = 148; A = 0; B = 7; C = 0; x = 253; y = 87; 
char = 149; A = 0; B = 5; C = 0; x = 268; y = 87; 
char = 150; A = 0; B = 8; C = -1; x = 281; y = 87; 
char = 151; A = 0; B = 15; C = -1; x = 297; y = 87; 
char = 153; A = 0; B = 15; C = 0; x = 320; y = 87; 
char = 154; A = 0; B = 10; C = 0; x = 343; y = 87; 
char = 155; A = 0; B = 4; C = 0; x = 361; y = 87; 
char = 156; A = 0; B = 11; C = 0; x = 373; y = 87; 
char = 157; A = 0; B = 8; C = 0; x = 392; y = 87; 
char = 158; A = 0; B = 8; C = 0; x = 408; y = 87; 
char = 159; A = 0; B = 8; C = 0; x = 424; y = 87; 
char = 161; A = -1; B = 10; C = 0; x = 440; y = 87; 
char = 162; A = 0; B = 8; C = -1; x = 458; y = 87; 
char = 163; A = -1; B = 6; C = 0; x = 474; y = 87; 
char = 164; A = 1; B = 8; C = 1; x = 488; y = 87; 
char = 165; A = 0; B = 8; C = 0; x = 0; y = 111; 
char = 166; A = 3; B = 2; C = 3; x = 16; y = 111; 
char = 167; A = 0; B = 7; C = 0; x = 26; y = 111; 
char = 168; A = 0; B = 10; C = 0; x = 41; y = 111; 
char = 169; A = 0; B = 11; C = 0; x = 59; y = 111; 
char = 170; A = 0; B = 9; C = 0; x = 78; y = 111; 
char = 171; A = 0; B = 6; C = 0; x = 95; y = 111; 
char = 173; A = 0; B = 4; C = 0; x = 109; y = 111; 
char = 174; A = 0; B = 10; C = 0; x = 121; y = 111; 
char = 175; A = 0; B = 5; C = 0; x = 139; y = 111; 
char = 176; A = 0; B = 6; C = 0; x = 152; y = 111; 
char = 177; A = 1; B = 9; C = 0; x = 166; y = 111; 
char = 178; A = 0; B = 5; C = 0; x = 183; y = 111; 
char = 179; A = 0; B = 4; C = 0; x = 196; y = 111; 
char = 180; A = 0; B = 5; C = 0; x = 208; y = 111; 
char = 181; A = 0; B = 7; C = 0; x = 221; y = 111; 
char = 183; A = 0; B = 4; C = 0; x = 236; y = 111; 
char = 184; A = 0; B = 6; C = 0; x = 248; y = 111; 
char = 185; A = 0; B = 17; C = 0; x = 262; y = 111; 
char = 186; A = 0; B = 7; C = 0; x = 287; y = 111; 
char = 187; A = 0; B = 7; C = 0; x = 302; y = 111; 
char = 188; A = 0; B = 3; C = 0; x = 317; y = 111; 
char = 189; A = 0; B = 7; C = 0; x = 328; y = 111; 
char = 190; A = 0; B = 5; C = 0; x = 343; y = 111; 
char = 191; A = 0; B = 5; C = -1; x = 356; y = 111; 
char = 192; A = -1; B = 10; C = 0; x = 369; y = 111; 
char = 193; A = 0; B = 9; C = 0; x = 387; y = 111; 
char = 194; A = 0; B = 9; C = 0; x = 404; y = 111; 
char = 195; A = 0; B = 8; C = 0; x = 421; y = 111; 
char = 196; A = 0; B = 11; C = 0; x = 437; y = 111; 
char = 197; A = 0; B = 10; C = 0; x = 456; y = 111; 
char = 198; A = 0; B = 15; C = 0; x = 474; y = 111; 
char = 199; A = 0; B = 8; C = 0; x = 0; y = 135; 
char = 200; A = 0; B = 11; C = 0; x = 16; y = 135; 
char = 201; A = 0; B = 11; C = 0; x = 35; y = 135; 
char = 202; A = 0; B = 10; C = -1; x = 54; y = 135; 
char = 203; A = -1; B = 10; C = 0; x = 72; y = 135; 
char = 204; A = 0; B = 13; C = 0; x = 90; y = 135; 
char = 205; A = 0; B = 12; C = 0; x = 111; y = 135; 
char = 206; A = 0; B = 11; C = 0; x = 131; y = 135; 
char = 207; A = 0; B = 12; C = 0; x = 150; y = 135; 
char = 208; A = 0; B = 9; C = 0; x = 170; y = 135; 
char = 209; A = 0; B = 9; C = 0; x = 187; y = 135; 
char = 210; A = 0; B = 9; C = 0; x = 204; y = 135; 
char = 211; A = -1; B = 10; C = 0; x = 221; y = 135; 
char = 212; A = 0; B = 12; C = 0; x = 239; y = 135; 
char = 213; A = 0; B = 10; C = 0; x = 259; y = 135; 
char = 214; A = 0; B = 12; C = 0; x = 277; y = 135; 
char = 215; A = 0; B = 10; C = 0; x = 297; y = 135; 
char = 216; A = 0; B = 16; C = 0; x = 315; y = 135; 
char = 217; A = 0; B = 16; C = 0; x = 339; y = 135; 
char = 218; A = 0; B = 12; C = 0; x = 363; y = 135; 
char = 219; A = 0; B = 14; C = 0; x = 383; y = 135; 
char = 220; A = 0; B = 9; C = 0; x = 405; y = 135; 
char = 221; A = 0; B = 9; C = 0; x = 422; y = 135; 
char = 222; A = 0; B = 16; C = 0; x = 439; y = 135; 
char = 223; A = -1; B = 10; C = 0; x = 463; y = 135; 
char = 224; A = 0; B = 6; C = 0; x = 481; y = 135; 
char = 225; A = 0; B = 7; C = 0; x = 495; y = 135; 
char = 226; A = 0; B = 6; C = 0; x = 0; y = 159; 
char = 227; A = 0; B = 6; C = 0; x = 14; y = 159; 
char = 228; A = 0; B = 8; C = 0; x = 28; y = 159; 
char = 229; A = 0; B = 7; C = 0; x = 44; y = 159; 
char = 230; A = 0; B = 12; C = 0; x = 59; y = 159; 
char = 231; A = 0; B = 6; C = 0; x = 79; y = 159; 
char = 232; A = 0; B = 8; C = 0; x = 93; y = 159; 
char = 233; A = 0; B = 8; C = 0; x = 109; y = 159; 
char = 234; A = 0; B = 8; C = 0; x = 125; y = 159; 
char = 235; A = 0; B = 8; C = -1; x = 141; y = 159; 
char = 236; A = 0; B = 9; C = 0; x = 157; y = 159; 
char = 237; A = 0; B = 8; C = 0; x = 174; y = 159; 
char = 238; A = 0; B = 7; C = 0; x = 190; y = 159; 
char = 239; A = 0; B = 8; C = 0; x = 205; y = 159; 
char = 240; A = 0; B = 8; C = 0; x = 221; y = 159; 
char = 241; A = 0; B = 6; C = 0; x = 237; y = 159; 
char = 242; A = 0; B = 7; C = 0; x = 251; y = 159; 
char = 243; A = 0; B = 7; C = -1; x = 266; y = 159; 
char = 244; A = 0; B = 10; C = 0; x = 281; y = 159; 
char = 245; A = 0; B = 8; C = 0; x = 299; y = 159; 
char = 246; A = 0; B = 7; C = 0; x = 315; y = 159; 
char = 247; A = 0; B = 8; C = 0; x = 330; y = 159; 
char = 248; A = 0; B = 12; C = 0; x = 346; y = 159; 
char = 249; A = 0; B = 12; C = 0; x = 366; y = 159; 
char = 250; A = 0; B = 8; C = 0; x = 386; y = 159; 
char = 251; A = 0; B = 10; C = 0; x = 402; y = 159; 
char = 252; A = 0; B = 7; C = 0; x = 420; y = 159; 
char = 253; A = 0; B = 7; C = 0; x = 435; y = 159; 
char = 254; A = 0; B = 11; C = 0; x = 450; y = 159; 
char = 255; A = 0; B = 7; C = 0; x = 469; y = 159; 
