ascent = 17
descent = 0
height = 25
xOffset = 4
yOffset = 4
numChars = 216
char = 33; A = 1; B = 4; C = 1; x = 0; y = 16; 
char = 93; A = 1; B = 4; C = 1; x = 493; y = 41; 
char = 94; A = -1; B = 7; C = -1; x = 0; y = 66; 
char = 95; A = 0; B = 8; C = 0; x = 15; y = 66; 
char = 96; A = 1; B = 4; C = 2; x = 31; y = 66; 
char = 97; A = 0; B = 8; C = 0; x = 43; y = 66; 
char = 98; A = 0; B = 9; C = 0; x = 59; y = 66; 
char = 99; A = 0; B = 8; C = 0; x = 76; y = 66; 
char = 100; A = 0; B = 9; C = 0; x = 92; y = 66; 
char = 101; A = 0; B = 8; C = 0; x = 109; y = 66; 
char = 102; A = 0; B = 7; C = 0; x = 125; y = 66; 
char = 103; A = 0; B = 9; C = 0; x = 140; y = 66; 
char = 104; A = 0; B = 9; C = 0; x = 157; y = 66; 
char = 105; A = 0; B = 5; C = 0; x = 174; y = 66; 
char = 106; A = -1; B = 5; C = 1; x = 187; y = 66; 
char = 107; A = 0; B = 9; C = 0; x = 200; y = 66; 
char = 108; A = 0; B = 5; C = 0; x = 217; y = 66; 
char = 109; A = 0; B = 13; C = 0; x = 230; y = 66; 
char = 110; A = 0; B = 9; C = 0; x = 251; y = 66; 
char = 111; A = 0; B = 9; C = 0; x = 268; y = 66; 
char = 112; A = 0; B = 9; C = 0; x = 285; y = 66; 
char = 113; A = 0; B = 9; C = 0; x = 302; y = 66; 
char = 114; A = 0; B = 6; C = 0; x = 319; y = 66; 
char = 115; A = 0; B = 8; C = 0; x = 333; y = 66; 
char = 116; A = 0; B = 7; C = 0; x = 349; y = 66; 
char = 117; A = 0; B = 9; C = 0; x = 364; y = 66; 
char = 118; A = 0; B = 9; C = 0; x = 381; y = 66; 
char = 119; A = 0; B = 12; C = 0; x = 398; y = 66; 
char = 120; A = 0; B = 9; C = 0; x = 418; y = 66; 
char = 121; A = 0; B = 8; C = 0; x = 435; y = 66; 
char = 122; A = 0; B = 8; C = 0; x = 451; y = 66; 
char = 123; A = 1; B = 4; C = 1; x = 467; y = 66; 
char = 124; A = 3; B = 2; C = 2; x = 479; y = 66; 
char = 125; A = 1; B = 4; C = 1; x = 489; y = 66; 
char = 126; A = 1; B = 7; C = 0; x = 0; y = 91; 
char = 128; A = 0; B = 13; C = 0; x = 15; y = 91; 
char = 129; A = 0; B = 9; C = -1; x = 36; y = 91; 
char = 130; A = 1; B = 3; C = 1; x = 53; y = 91; 
char = 131; A = 0; B = 7; C = 0; x = 64; y = 91; 
char = 132; A = 1; B = 7; C = 1; x = 79; y = 91; 
char = 133; A = 1; B = 13; C = 0; x = 94; y = 91; 
char = 134; A = 1; B = 6; C = 1; x = 115; y = 91; 
char = 135; A = 1; B = 7; C = 1; x = 129; y = 91; 
char = 137; A = 0; B = 20; C = 0; x = 144; y = 91; 
char = 138; A = 0; B = 17; C = 0; x = 172; y = 91; 
char = 139; A = 1; B = 3; C = 1; x = 197; y = 91; 
char = 140; A = 0; B = 17; C = 0; x = 208; y = 91; 
char = 141; A = 0; B = 11; C = 0; x = 233; y = 91; 
char = 142; A = 0; B = 13; C = 0; x = 252; y = 91; 
char = 143; A = 0; B = 11; C = 0; x = 273; y = 91; 
char = 144; A = 0; B = 9; C = 0; x = 292; y = 91; 
char = 145; A = 1; B = 3; C = 1; x = 309; y = 91; 
char = 146; A = 1; B = 3; C = 1; x = 320; y = 91; 
char = 147; A = 1; B = 7; C = 1; x = 331; y = 91; 
char = 148; A = 1; B = 7; C = 1; x = 346; y = 91; 
char = 149; A = 1; B = 4; C = 0; x = 361; y = 91; 
char = 150; A = 0; B = 8; C = 0; x = 373; y = 91; 
char = 151; A = 0; B = 12; C = 0; x = 389; y = 91; 
char = 153; A = 0; B = 14; C = -1; x = 409; y = 91; 
char = 154; A = 0; B = 13; C = 0; x = 431; y = 91; 
char = 155; A = 1; B = 3; C = 1; x = 452; y = 91; 
char = 156; A = 0; B = 13; C = 0; x = 463; y = 91; 
char = 157; A = 0; B = 9; C = 0; x = 484; y = 91; 
char = 158; A = 0; B = 10; C = 0; x = 0; y = 116; 
char = 159; A = 0; B = 9; C = 0; x = 18; y = 116; 
char = 161; A = 0; B = 11; C = 0; x = 35; y = 116; 
char = 162; A = 0; B = 8; C = 0; x = 54; y = 116; 
char = 163; A = 0; B = 9; C = 0; x = 70; y = 116; 
char = 164; A = 1; B = 8; C = 0; x = 87; y = 116; 
char = 165; A = 0; B = 9; C = 0; x = 103; y = 116; 
char = 166; A = 3; B = 2; C = 2; x = 120; y = 116; 
char = 167; A = 0; B = 9; C = 0; x = 130; y = 116; 
char = 168; A = 0; B = 10; C = 0; x = 147; y = 116; 
char = 169; A = 0; B = 11; C = 0; x = 165; y = 116; 
char = 170; A = 0; B = 11; C = 0; x = 184; y = 116; 
char = 171; A = 1; B = 6; C = 1; x = 203; y = 116; 
char = 174; A = 0; B = 11; C = 0; x = 217; y = 116; 
char = 175; A = 0; B = 6; C = -1; x = 236; y = 116; 
char = 176; A = 0; B = 5; C = 0; x = 250; y = 116; 
char = 177; A = 1; B = 8; C = 1; x = 263; y = 116; 
char = 178; A = 0; B = 4; C = 0; x = 279; y = 116; 
char = 179; A = 0; B = 4; C = 0; x = 291; y = 116; 
char = 180; A = 0; B = 6; C = 0; x = 303; y = 116; 
char = 181; A = 0; B = 9; C = 0; x = 317; y = 116; 
char = 183; A = 1; B = 4; C = 0; x = 334; y = 116; 
char = 184; A = 0; B = 8; C = 0; x = 346; y = 116; 
char = 185; A = 0; B = 17; C = 0; x = 362; y = 116; 
char = 186; A = 0; B = 9; C = 0; x = 387; y = 116; 
char = 187; A = 1; B = 5; C = 1; x = 404; y = 116; 
char = 188; A = -1; B = 5; C = 1; x = 417; y = 116; 
char = 189; A = 0; B = 10; C = 0; x = 430; y = 116; 
char = 190; A = 0; B = 8; C = 0; x = 448; y = 116; 
char = 191; A = -1; B = 6; C = -1; x = 464; y = 116; 
char = 192; A = 0; B = 12; C = 0; x = 478; y = 116; 
char = 193; A = 0; B = 10; C = 0; x = 0; y = 141; 
char = 194; A = 0; B = 10; C = 0; x = 18; y = 141; 
char = 195; A = 0; B = 9; C = 0; x = 36; y = 141; 
char = 196; A = 0; B = 12; C = 0; x = 53; y = 141; 
char = 197; A = 0; B = 10; C = 0; x = 73; y = 141; 
char = 198; A = 0; B = 17; C = -1; x = 91; y = 141; 
char = 199; A = 0; B = 9; C = 0; x = 116; y = 141; 
char = 200; A = 0; B = 11; C = 0; x = 133; y = 141; 
char = 201; A = 0; B = 12; C = 0; x = 152; y = 141; 
char = 202; A = 0; B = 11; C = 0; x = 172; y = 141; 
char = 203; A = 0; B = 11; C = 0; x = 191; y = 141; 
char = 204; A = 0; B = 13; C = 0; x = 210; y = 141; 
char = 205; A = 0; B = 11; C = 0; x = 231; y = 141; 
char = 206; A = 0; B = 12; C = 0; x = 250; y = 141; 
char = 207; A = 0; B = 11; C = 0; x = 270; y = 141; 
char = 208; A = 0; B = 9; C = 0; x = 289; y = 141; 
char = 209; A = 0; B = 11; C = 0; x = 306; y = 141; 
char = 210; A = 0; B = 9; C = 0; x = 325; y = 141; 
char = 211; A = 0; B = 11; C = 0; x = 342; y = 141; 
char = 212; A = 0; B = 14; C = 0; x = 361; y = 141; 
char = 213; A = 0; B = 11; C = 0; x = 383; y = 141; 
char = 214; A = 0; B = 11; C = 0; x = 402; y = 141; 
char = 215; A = 0; B = 11; C = 0; x = 421; y = 141; 
char = 216; A = 0; B = 15; C = 0; x = 440; y = 141; 
char = 217; A = 0; B = 16; C = 0; x = 463; y = 141; 
char = 218; A = 0; B = 13; C = 0; x = 487; y = 141; 
char = 219; A = 0; B = 15; C = 0; x = 0; y = 166; 
char = 220; A = 0; B = 11; C = 0; x = 23; y = 166; 
char = 221; A = 0; B = 11; C = 0; x = 42; y = 166; 
char = 222; A = 0; B = 17; C = 0; x = 61; y = 166; 
char = 223; A = 0; B = 11; C = 0; x = 86; y = 166; 
char = 224; A = 0; B = 9; C = 0; x = 105; y = 166; 
char = 225; A = 0; B = 9; C = 0; x = 122; y = 166; 
char = 226; A = 0; B = 8; C = 0; x = 139; y = 166; 
char = 227; A = 0; B = 7; C = 0; x = 155; y = 166; 
char = 228; A = 0; B = 9; C = 0; x = 170; y = 166; 
char = 229; A = 0; B = 8; C = 0; x = 187; y = 166; 
char = 230; A = 0; B = 13; C = -1; x = 203; y = 166; 
char = 231; A = 0; B = 7; C = 0; x = 224; y = 166; 
char = 232; A = 0; B = 9; C = 0; x = 239; y = 166; 
char = 233; A = 0; B = 9; C = 0; x = 256; y = 166; 
char = 234; A = 0; B = 10; C = -1; x = 273; y = 166; 
char = 235; A = 0; B = 9; C = 0; x = 291; y = 166; 
char = 236; A = 0; B = 10; C = 0; x = 308; y = 166; 
char = 237; A = 0; B = 9; C = 0; x = 326; y = 166; 
char = 238; A = 0; B = 9; C = 0; x = 343; y = 166; 
char = 239; A = 0; B = 9; C = 0; x = 360; y = 166; 
char = 240; A = 0; B = 9; C = 0; x = 377; y = 166; 
char = 241; A = 0; B = 7; C = 0; x = 394; y = 166; 
char = 242; A = 0; B = 8; C = 0; x = 409; y = 166; 
char = 243; A = 0; B = 9; C = 0; x = 425; y = 166; 
char = 244; A = 0; B = 12; C = 0; x = 442; y = 166; 
char = 245; A = 0; B = 9; C = 0; x = 462; y = 166; 
char = 246; A = 0; B = 9; C = 0; x = 479; y = 166; 
char = 247; A = 0; B = 9; C = 0; x = 0; y = 191; 
char = 248; A = 0; B = 12; C = 0; x = 17; y = 191; 
char = 249; A = 0; B = 12; C = 0; x = 37; y = 191; 
char = 250; A = 0; B = 10; C = 0; x = 57; y = 191; 
char = 251; A = 0; B = 12; C = 0; x = 75; y = 191; 
char = 252; A = 0; B = 8; C = 0; x = 95; y = 191; 
char = 253; A = 0; B = 8; C = 0; x = 111; y = 191; 
char = 254; A = 0; B = 13; C = 0; x = 127; y = 191; 
char = 255; A = 0; B = 8; C = 0; x = 148; y = 191; 
