ascent = 14
descent = 0
height = 16
xOffset = 4
yOffset = 4
numChars = 94
char = 33; A = 1; B = 2; C = 1; x = 0; y = 13; 
char = 68; A = 0; B = 8; C = 0; x = 206; y = 35; 
char = 69; A = 1; B = 7; C = -1; x = 222; y = 35; 
char = 70; A = 1; B = 6; C = 0; x = 237; y = 35; 
char = 71; A = 1; B = 8; C = 0; x = 0; y = 57; 
char = 72; A = 1; B = 8; C = 0; x = 16; y = 57; 
char = 73; A = 1; B = 4; C = 0; x = 32; y = 57; 
char = 74; A = 0; B = 5; C = 0; x = 44; y = 57; 
char = 75; A = 1; B = 7; C = 0; x = 57; y = 57; 
char = 76; A = 1; B = 7; C = -1; x = 72; y = 57; 
char = 77; A = 1; B = 9; C = 0; x = 87; y = 57; 
char = 78; A = 1; B = 8; C = 0; x = 104; y = 57; 
char = 79; A = 1; B = 8; C = 0; x = 120; y = 57; 
char = 80; A = 1; B = 6; C = 0; x = 136; y = 57; 
char = 81; A = 1; B = 8; C = 0; x = 150; y = 57; 
char = 82; A = 1; B = 7; C = 0; x = 166; y = 57; 
char = 83; A = 1; B = 5; C = 0; x = 181; y = 57; 
char = 84; A = 0; B = 8; C = 0; x = 194; y = 57; 
char = 85; A = 1; B = 8; C = 0; x = 210; y = 57; 
char = 86; A = 0; B = 9; C = -1; x = 226; y = 57; 
char = 87; A = 0; B = 12; C = -1; x = 0; y = 79; 
char = 88; A = 1; B = 8; C = -1; x = 20; y = 79; 
char = 89; A = 1; B = 7; C = 0; x = 36; y = 79; 
char = 90; A = 1; B = 6; C = 0; x = 51; y = 79; 
char = 91; A = 1; B = 3; C = 0; x = 65; y = 79; 
char = 92; A = 0; B = 5; C = 0; x = 76; y = 79; 
char = 93; A = 1; B = 3; C = 0; x = 89; y = 79; 
char = 94; A = 0; B = 4; C = 0; x = 100; y = 79; 
char = 95; A = 0; B = 7; C = 0; x = 112; y = 79; 
char = 96; A = 1; B = 2; C = -1; x = 127; y = 79; 
char = 97; A = 1; B = 5; C = 0; x = 137; y = 79; 
char = 98; A = 1; B = 6; C = -1; x = 150; y = 79; 
char = 99; A = 1; B = 5; C = 0; x = 164; y = 79; 
char = 100; A = 1; B = 5; C = 0; x = 177; y = 79; 
char = 101; A = 1; B = 5; C = 0; x = 190; y = 79; 
char = 102; A = 1; B = 4; C = -1; x = 203; y = 79; 
char = 103; A = 1; B = 5; C = 0; x = 215; y = 79; 
char = 104; A = 1; B = 6; C = -1; x = 228; y = 79; 
char = 105; A = 1; B = 3; C = -1; x = 242; y = 79; 
char = 106; A = 0; B = 3; C = -1; x = 0; y = 101; 
char = 107; A = 1; B = 6; C = -1; x = 11; y = 101; 
char = 108; A = 1; B = 3; C = -1; x = 25; y = 101; 
char = 109; A = 1; B = 8; C = 0; x = 36; y = 101; 
char = 110; A = 1; B = 5; C = 0; x = 52; y = 101; 
char = 111; A = 1; B = 6; C = -1; x = 65; y = 101; 
char = 112; A = 1; B = 6; C = -1; x = 79; y = 101; 
char = 113; A = 1; B = 5; C = 0; x = 93; y = 101; 
char = 114; A = 1; B = 4; C = 0; x = 106; y = 101; 
char = 115; A = 1; B = 4; C = -1; x = 118; y = 101; 
char = 116; A = 1; B = 4; C = -1; x = 130; y = 101; 
char = 117; A = 1; B = 6; C = -1; x = 142; y = 101; 
char = 118; A = 0; B = 6; C = 0; x = 156; y = 101; 
char = 119; A = 1; B = 8; C = -1; x = 170; y = 101; 
char = 120; A = 1; B = 5; C = 0; x = 186; y = 101; 
char = 121; A = 1; B = 5; C = 0; x = 199; y = 101; 
char = 122; A = 0; B = 5; C = 0; x = 212; y = 101; 
char = 123; A = 0; B = 4; C = 0; x = 225; y = 101; 
char = 124; A = 0; B = 1; C = 1; x = 237; y = 101; 
char = 125; A = 0; B = 4; C = 0; x = 0; y = 123; 
char = 126; A = 0; B = 6; C = 0; x = 12; y = 123; 
